難易度,お題,ひらがな,別解1,別解2,別解3,別解4,別解5,別解6,別解7,別解8,別解9,別解10,別解11,別解12,別解13,別解14,別解15,別解16,別解17,別解18,別解19,別解20,別解21,別解22,別解23,別解24,別解25,別解26,別解27,別解28,別解29,別解30,別解31,別解32,別解33,別解34,別解35,別解36
ふつう,アロマセラピー,あろませらぴー,あろませらぴすと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,アロワナ,あろわな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,あわてんぼうのサンタクロース,あわてんぼうのさんたくろーす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,暗号,あんごう,ぱすわーど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,暗視ゴーグル,あんしごーぐる,あんしそうち,いめーじいんてんしふぁいあ,なくとびじょん,のくとびじょん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,あんず,あんず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,アンドロイド,あんどろいど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,杏仁豆腐（あんにんどうふ）,あんにんどうふ,あんにん,あんにんとうふ,あんにんどーふ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,あんまん,あんまん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,アンモナイト,あんもないと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,居合い,いあい,いあいぎり,いあいじゅつ,ばっとう,ばっとうじゅつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イースター・エッグ,いーすたーえっぐ,いーすたー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イーゼル,いーぜる,がか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ETC,いーてぃーしー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,委員長,いいんちょう,いいんちょー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,家出,いえで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,威嚇（いかく）,いかく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いがぐり,いがぐり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イカスミ,いかすみ,いかのすみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いかそうめん,いかそうめん,いかそーめん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いかの塩辛,いかのしおから,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イカ飯,いかめし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,胃カメラ,いかめら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,錨（いかり）,いかり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イギリス,いぎりす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,囲碁,いご,ご,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,居酒屋,いざかや,のみや,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,石頭,いしあたま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,石川五右衛門,いしかわごえもん,ごえもん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,以心伝心,いしんでんしん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,伊勢えび,いせえび,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,急がば回れ,いそがばまわれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いたずら,いたずら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いたちごっこ,いたちごっこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,板前,いたまえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イタリア,いたりあ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イタリア料理,いたりありょうり,いたりあん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イチゴ狩り,いちごがり,いちごかり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いちご大福,いちごだいふく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イチゴタルト,いちごたると,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,一年生,いちねんせい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イチョウ並木,いちょうなみき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,一気飲み,いっきのみ,いっき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,一石二鳥,いっせきにちょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,一刀両断,いっとうりょうだん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,一方通行,いっぽうつうこう,いっつう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いて座,いてざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いないいないばあ,いないいないばあ,いないいないばー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イナゴ,いなご,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イナバウアー,いなばうあー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いなりずし,いなりずし,おいなりさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イヌぞり,いぬぞり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,犬のおまわりさん,いぬのおまわりさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,犬の遠吠え（とおぼえ）,いぬのとおぼえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イヌ耳,いぬみみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,居眠り,いねむり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,命綱（いのちづな）,いのちづな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,茨城県,いばらきけん,いばらき,いばらぎ,いばらぎけん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,芋堀り,いもほり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イラストレーター,いらすとれーたー,えし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イルカショー,いるかしょー,いるかのしょー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,イルミネーション,いるみねーしょん,でんしょく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,入れ歯,いれば,ぎし,そうぎし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,色鉛筆,いろえんぴつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いわし雲,いわしぐも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,岩手県,いわてけん,いわて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,いんげん,いんげん,いんげんまめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,インコ,いんこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,インド料理,いんどりょうり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,インベーダー,いんべーだー,いんべいだー,いんべいだーげーむ,いんべーだーげーむ,すぺーすいんべいだー,すぺーすいんべーだー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウイスキー,ういすきー,うぃすきー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウィリー,うぃりー,うぃりーそうこう,のーずりふと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウィンク,うぃんく,ういんく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウーロン茶,うーろんちゃ,あおちゃ,せいちゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウェイター,うぇいたー,ぼーい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,上杉謙信,うえすぎけんしん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウェットティッシュ,うぇっとてぃっしゅ,うえっとてぃっしゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,魚市場,うおいちば,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウォーキング,うぉーきんぐ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウォータースライダー,うぉーたーすらいだー,すらいだー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウォーターベッド,うぉーたーべっど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うお座,うおざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウグイス嬢,うぐいすじょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウクレレ,うくれれ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウシガエル,うしがえる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,渦潮,うずしお,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウズラ,うずら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,嘘,うそ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うそ泣き,うそなき,なきまね,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,嘘発見器,うそはっけんき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,歌い手,うたいて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,宴（うたげ）,うたげ,えんかい,さかもり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,打たせ湯,うたせゆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,打出の小槌,うちでのこづち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,打ち水,うちみず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,宇宙船,うちゅうせん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,宇宙服,うちゅうふく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,宇宙旅行,うちゅうりょこう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウツボ,うつぼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ウツボカズラ,うつぼかずら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,腕,うで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,腕立て伏せ,うでたてふせ,うでたて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うで枕,うでまくら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うどん,うどん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うなじ,うなじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うな重,うなじゅう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,右脳,うのう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,海の家,うみのいえ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,海開き,うみびらき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,海坊主,うみぼうず,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,梅酒,うめしゅ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,梅干し,うめぼし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うるう年,うるうどし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,うれし泣き,うれしなき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,浮気,うわき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,上目遣い,うわめづかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,運河,うんが,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,運動,うんどう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エアガン,えあがん,えあそふとがん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エアギター,えあぎたー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エアコン,えあこん,くーらー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エアシャワー,えあしゃわー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エアバッグ,えあばっぐ,えすあーるえす,えすあーるえすえあばっぐしすてむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,英会話,えいかいわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,映画監督,えいがかんとく,かんとく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,ATM,えーてぃーえむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,絵描き歌,えかきうた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,駅,えき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,駅伝,えきでん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,駅弁,えきべん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エクステ,えくすて,えくすてんしょん,へあえくすて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,えくぼ,えくぼ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エコ,えこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エコカー,えこかー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エコバッグ,えこばっぐ,えこばっく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エジソン,えじそん,とーますえじそん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エス極,えすきょく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エッフェル塔,えっふぇるとう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,干支,えと,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,江戸時代,えどじだい,えど,とくがわじだい,はんせいじだい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エヌ極,えぬきょく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エノキ,えのき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,えびす,えびす,えびすさま,えべっさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,えび反り,えびぞり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エビチリ,えびちり,えびのちりそーす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,愛媛県,えひめけん,えひめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エベレスト,えべれすと,ちょもらんま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,烏帽子（えぼし）,えぼし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エメラルド,えめらるど,すいぎょく,りょくぎょく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,絵文字,えもじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エリンギ,えりんぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エレキギター,えれきぎたー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,縁側,えんがわ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,遠距離恋愛,えんきょりれんあい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,エンジニア,えんじにあ,ぎじゅつしゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,円周率,えんしゅうりつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,円陣,えんじん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,遠心力,えんしんりょく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,延長コード,えんちょうこーど,えんちょうけーぶる,でんげんえんちょうけーぶる,でんげんえんちょうこーど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,煙突掃除夫,えんとつそうじふ,えんとつそうじ,えんとつそうじにん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,円盤投げ,えんばんなげ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,閻魔（えんま）,えんま,えんまさま,えんまだいおう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オアシス,おあしす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オイルマッサージ,おいるまっさーじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,応援団,おうえんだん,おうえんだんいん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,玉座,おうざ,ぎょくざ,たかみくら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,王様の耳はロバの耳,おうさまのみみはろばのみみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おうし座,おうしざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,王手,おうて,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オウム,おうむ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オウム返し,おうむがえし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お絵かき,おえかき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,OL,おーえる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オオカミ少年,おおかみしょうねん,うそをつくこども,おおかみとひつじかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,狼人間（おおかみにんげん）,おおかみにんげん,おおかみおとこ,じんろう,わーうるふ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おおきなかぶ,おおきなかぶ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,大きなくりの木の下で,おおきなくりのきのしたで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,大喜利,おおぎり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オークション,おーくしょん,きょうばい,きょうばいかい,せり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オーケストラ,おーけすとら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,大掃除,おおそうじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オーディション,おーでぃしょん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オートバイ,おーとばい,じどうにりん,たんしゃ,ばいく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オートレース,おーとれーす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オーバーオール,おーばーおーる,さろぺ,さろぺっと,つなぎ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オーバーニーソックス,おーばーにーそっくす,おーばーにーそ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オーブントースター,おーぶんとーすたー,おーぶん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オーラ,おーら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オールバック,おーるばっく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お菓子,おかし,かし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オカピ,おかぴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オカメ,おかめ,おたふく,おふく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,岡山県,おかやまけん,おかやま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オカリナ,おかりな,おかりーな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,屋上,おくじょう,さいじょうかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,屋上庭園,おくじょうていえん,おくじょうさいえん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オクラ,おくら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オケラ,おけら,けら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お子様ランチ,おこさまらんち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おこづかい,おこづかい,こづかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お好み焼き,おこのみやき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,幼馴染み,おさななじみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お仕置き,おしおき,しおき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オジギソウ,おじぎそう,ねむりぐさ,みもざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おしくらまんじゅう,おしくらまんじゅう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お地蔵さん,おじぞうさん,おじぞうさま,くしてぃがるば,じぞう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,押し花,おしばな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おしぼり,おしぼり,おてふき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お正月,おしょうがつ,しょうがつ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お嬢様,おじょうさま,れいじょう,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おしるこ,おしるこ,しるこ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オズの魔法使い,おずのまほうつかい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おせち,おせち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お掃除ロボット,おそうじろぼっと,そうじろぼっと,ろぼっとそうじき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お雑煮,おぞうに,ぞうに,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お台場,おだいば,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,織田信長,おだのぶなが,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おたふく風邪,おたふくかぜ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,落ち武者,おちむしゃ,おちうど,おちゅうど,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お茶,おちゃ,ちゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おちゃわん,おちゃわん,ちゃわん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お中元,おちゅうげん,ちゅうげん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,夫,おっと,だんなさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オッドアイ,おっどあい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,オットセイ,おっとせい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おでこ,おでこ,でこ,ぬか,ひたい,みけん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お寺,おてら,てら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お天気雨,おてんきあめ,てんきあめ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,弟,おとうと,おとじゃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,大人,おとな,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,大人買い,おとながい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おとめ座,おとめざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おとり,おとり,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お兄ちゃん,おにいちゃん,あに,あにき,にいさん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,鬼瓦（おにがわら）,おにがわら,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,鬼の目にも涙,おにのめにもなみだ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,斧（おの）,おの,あっくす,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おはじき,おはじき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,お祓い（おはらい）,おはらい,じょれい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ふつう,おひつじ座,おひつじざ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
